instructor,rmp_rating,rmp_difficulty,rmp_num_ratings,rmp_take_again,rmp_url,rmp_dept,rmp_tags
"EVEN, THOMAS",4.5,2.8,188,79%,https://www.ratemyprofessors.com/professor/154003,Biology,"AMAZING LECTURES, TEST HEAVY, RESPECTED, GRADED BY FEW THINGS, INSPIRATIONAL, LECTURE HEAVY, TOUGH GRADER, CARING"
"LEWIS, ROBERT",4.4,4.0,125,88%,https://www.ratemyprofessors.com/professor/2170428,Chemistry,"ACCESSIBLE OUTSIDE CLASS, AMAZING LECTURES, CLEAR GRADING CRITERIA, CARING, TEST HEAVY, TOUGH GRADER, GET READY TO READ, ONLINE SAVVY"
"BARRETT, THOMAS",4.8,2.3,74,93%,https://www.ratemyprofessors.com/professor/2435150,Philosophy,"AMAZING LECTURES, HILARIOUS, CARING, ACCESSIBLE OUTSIDE CLASS, EXTRA CREDIT, CLEAR GRADING CRITERIA"
"WANG, RICHERT",4.5,3.2,66,86%,https://www.ratemyprofessors.com/professor/2342194,Computer Science,"AMAZING LECTURES, CARING, CLEAR GRADING CRITERIA, GIVES GOOD FEEDBACK, RESPECTED, TOUGH GRADER, LOTS OF HOMEWORK, TEST HEAVY"
"COBURN, KATIE",3.1,3.0,63,53%,https://www.ratemyprofessors.com/professor/2729512,Statistics,"CARING, CLEAR GRADING CRITERIA, TEST HEAVY, TOUGH GRADER, EXTRA CREDIT, LOTS OF HOMEWORK, GRADED BY FEW THINGS, LECTURE HEAVY, BEWARE OF POP QUIZZES"
"STANSELL, AMANDA",4.3,2.4,58,70%,https://www.ratemyprofessors.com/professor/327347,Writing,"TOUGH GRADER, GIVES GOOD FEEDBACK, PARTICIPATION MATTERS, GROUP PROJECTS, CARING, GRADED BY FEW THINGS, CLEAR GRADING CRITERIA"
"HULME, JENNIFER",3.9,3.5,53,67%,https://www.ratemyprofessors.com/professor/2123040,Accounting,"TEST HEAVY, AMAZING LECTURES, EXTRA CREDIT, CLEAR GRADING CRITERIA, CARING, TOUGH GRADER, GRADED BY FEW THINGS, LOTS OF HOMEWORK"
"POPESCU, PAULA",3.7,3.0,43,76%,https://www.ratemyprofessors.com/professor/2275527,Physics,"CLEAR GRADING CRITERIA, CARING, EXTRA CREDIT, LOTS OF HOMEWORK, GRADED BY FEW THINGS, GIVES GOOD FEEDBACK, ACCESSIBLE OUTSIDE CLASS, GROUP PROJECTS, TEST HEAVY"
"ABUZAID, ALI",4.2,2.9,33,78%,https://www.ratemyprofessors.com/professor/3038139,Statistics,"GROUP PROJECTS, CARING, RESPECTED, AMAZING LECTURES, CLEAR GRADING CRITERIA, GIVES GOOD FEEDBACK"
"MORSTEIN-MARX, ROBERT",4.5,2.4,30,87%,https://www.ratemyprofessors.com/professor/280502,Classics,"GET READY TO READ, AMAZING LECTURES, LECTURE HEAVY, GRADED BY FEW THINGS, TOUGH GRADER, ACCESSIBLE OUTSIDE CLASS, TEST HEAVY"
"CHADA, JOE",4.3,3.0,27,88%,https://www.ratemyprofessors.com/professor/2517201,Chemical Engineering,"GROUP PROJECTS, ACCESSIBLE OUTSIDE CLASS, LOTS OF HOMEWORK, CARING, AMAZING LECTURES, TOUGH GRADER, BEWARE OF POP QUIZZES, INSPIRATIONAL, GIVES GOOD FEEDBACK, LECTURE HEAVY"
"GURVEN, MICHAEL",3.3,3.9,26,60%,https://www.ratemyprofessors.com/professor/591393,Anthropology,"TOUGH GRADER, GET READY TO READ, PARTICIPATION MATTERS, CARING, LECTURE HEAVY, HILARIOUS, TEST HEAVY, CLEAR GRADING CRITERIA, GRADED BY FEW THINGS"
"OLGUIN, BEN",2.6,2.9,24,50%,https://www.ratemyprofessors.com/professor/2383501,English,"GET READY TO READ, EXTRA CREDIT, SKIP CLASS? YOU WON'T PASS., LECTURE HEAVY, PARTICIPATION MATTERS, INSPIRATIONAL, CLEAR GRADING CRITERIA, GROUP PROJECTS"
"MIESCHER, STEPHAN",3.4,2.8,24,71%,https://www.ratemyprofessors.com/professor/804774,History,"GET READY TO READ, PARTICIPATION MATTERS, LECTURE HEAVY, SKIP CLASS? YOU WON'T PASS., EXTRA CREDIT, BEWARE OF POP QUIZZES, CARING"
"PALANIAPPAN, V.",3.0,3.5,24,54%,https://www.ratemyprofessors.com/professor/3041445,Statistics,"TEST HEAVY, CARING, GET READY TO READ, TOUGH GRADER, CLEAR GRADING CRITERIA, GRADED BY FEW THINGS, ACCESSIBLE OUTSIDE CLASS, AMAZING LECTURES, GIVES GOOD FEEDBACK, INSPIRATIONAL"
"RICHARDSON, CHRIS",4.4,3.3,21,90%,https://www.ratemyprofessors.com/professor/2674189,Biology,"ACCESSIBLE OUTSIDE CLASS, CLEAR GRADING CRITERIA, LECTURE HEAVY, CARING, RESPECTED, ONLINE SAVVY, GRADED BY FEW THINGS"
"WEBER, ELISABETH",4.2,2.8,21,81%,https://www.ratemyprofessors.com/professor/133368,Literature,"GET READY TO READ, PARTICIPATION MATTERS, GIVES GOOD FEEDBACK, CARING, EXTRA CREDIT, TEST HEAVY, INSPIRATIONAL, GRADED BY FEW THINGS, CLEAR GRADING CRITERIA"
"ELDER, KATHERINE",5.0,1.5,20,100%,https://www.ratemyprofessors.com/professor/3047865,Communication,"AMAZING LECTURES, CARING, CLEAR GRADING CRITERIA, HILARIOUS, ACCESSIBLE OUTSIDE CLASS, GIVES GOOD FEEDBACK, RESPECTED, GRADED BY FEW THINGS"
"ROOSE, HOLLY",5.0,1.3,13,100%,https://www.ratemyprofessors.com/professor/2557806,Education,"CARING, AMAZING LECTURES, INSPIRATIONAL, GRADED BY FEW THINGS, ACCESSIBLE OUTSIDE CLASS, LECTURE HEAVY"
